,cwm_loss,fdis_loss,loss,richness_loss,species_auc,species_aupr,species_loss,species_precision,species_recall,val_cwm_loss,val_fdis_loss,val_loss,val_richness_loss,val_species_auc,val_species_aupr,val_species_loss,val_species_precision,val_species_recall
0,0.727342426776886,0.8722639083862305,18.11414909362793,13.95756721496582,0.5074605345726013,0.033958736807107925,2.359701156616211,0.032475098967552185,0.023417629301548004,0.5362582206726074,0.4070471227169037,3.655155897140503,1.3056234121322632,0.5627039074897766,0.052623286843299866,1.3915685415267944,0.023940149694681168,0.0016244754660874605
1,0.23372560739517212,0.27665334939956665,2.4824976921081543,0.6714965105056763,0.5916117429733276,0.05868694558739662,1.292312741279602,0.33435067534446716,0.0736478865146637,0.15199711918830872,0.25410324335098267,2.209035873413086,0.5748752355575562,0.6142052412033081,0.0707632526755333,1.2272571325302124,0.44204121828079224,0.1328008621931076
2,0.09744687378406525,0.19486026465892792,1.7075177431106567,0.255262553691864,0.6303279995918274,0.07503551244735718,1.156858205795288,0.47372937202453613,0.17325684428215027,0.11940035223960876,0.21312753856182098,1.9270092248916626,0.45834821462631226,0.6363829374313354,0.08048512041568756,1.1387660503387451,0.4992853105068207,0.153682142496109
3,0.07927501201629639,0.14242413640022278,1.465610384941101,0.14967979490756989,0.6517466306686401,0.08462891727685928,1.0919913053512573,0.49127519130706787,0.19463522732257843,0.10685427486896515,0.17789678275585175,1.762526273727417,0.3904832601547241,0.6524026393890381,0.0875168964266777,1.0895600318908691,0.5030874013900757,0.16268444061279297
4,0.06935629993677139,0.10245690494775772,1.3337796926498413,0.11301729083061218,0.6690927743911743,0.09271014481782913,1.0469220876693726,0.5072670578956604,0.19513943791389465,0.09824253618717194,0.15347041189670563,1.6625277996063232,0.36020466685295105,0.669258713722229,0.09446278214454651,1.0521410703659058,0.5161565542221069,0.16380126774311066
5,0.062030330300331116,0.07452289760112762,1.2428048849105835,0.09337536990642548,0.6872105598449707,0.10124968737363815,1.010916829109192,0.5217145681381226,0.19638314843177795,0.09286309033632278,0.14049358665943146,1.5961109399795532,0.34233367443084717,0.6843711733818054,0.1013469398021698,1.0217281579971313,0.5268329381942749,0.1651211529970169
6,0.05721878632903099,0.05889833718538284,1.1768739223480225,0.07918938994407654,0.7049912810325623,0.11083652824163437,0.9796237349510193,0.536495566368103,0.19757084548473358,0.08962921798229218,0.13552407920360565,1.548415184020996,0.3289582431316376,0.7013884782791138,0.10952873528003693,0.9952847361564636,0.5329503417015076,0.16640719771385193
7,0.05352387949824333,0.05033830925822258,1.1253938674926758,0.0684972032904625,0.7229209542274475,0.12176673114299774,0.9510941505432129,0.5501667857170105,0.19955405592918396,0.08742480725049973,0.133039653301239,1.5094420909881592,0.3182997703552246,0.719449520111084,0.11856090277433395,0.9712978005409241,0.539768397808075,0.16881006956100464
8,0.05064401403069496,0.04494792968034744,1.0828378200531006,0.060404956340789795,0.7420728206634521,0.13311058282852173,0.9249110817909241,0.5638980865478516,0.20364373922348022,0.08590348809957504,0.13161881268024445,1.477924108505249,0.31064239144325256,0.7363511919975281,0.12663455307483673,0.9502559304237366,0.5461986064910889,0.1716528981924057
9,0.048253320157527924,0.04105358198285103,1.0468703508377075,0.053772106766700745,0.7609277367591858,0.144098699092865,0.9018666744232178,0.5756163001060486,0.2074757069349289,0.08473756909370422,0.1308896243572235,1.4538142681121826,0.3060407042503357,0.7520327568054199,0.13500089943408966,0.9326117038726807,0.5540801286697388,0.17510491609573364
10,0.04613544046878815,0.038013823330402374,1.0165702104568481,0.04815872758626938,0.7788082361221313,0.1545054316520691,0.8823592662811279,0.5872803330421448,0.2115878015756607,0.08379233628511429,0.1304432451725006,1.4351844787597656,0.3031672239303589,0.7660048604011536,0.14243514835834503,0.9182788133621216,0.5608510375022888,0.17842155694961548
11,0.04416942223906517,0.035550400614738464,0.9909971952438354,0.0433470718562603,0.795694887638092,0.16392654180526733,0.8660444021224976,0.5949634313583374,0.21494919061660767,0.08294549584388733,0.13019460439682007,1.4196044206619263,0.3002680242061615,0.780599057674408,0.1497107893228531,0.9067230224609375,0.5648702383041382,0.1819750964641571
12,0.04231448099017143,0.03350624069571495,0.9690217971801758,0.03904102370142937,0.8093203902244568,0.17263825237751007,0.8522844910621643,0.6011560559272766,0.21790720522403717,0.08221299201250076,0.12996071577072144,1.4064757823944092,0.2976304292678833,0.791294276714325,0.1565132588148117,0.8972555994987488,0.5656304955482483,0.1853594183921814
13,0.04050927236676216,0.03175527602434158,0.9498677253723145,0.03526739031076431,0.8218265771865845,0.18133078515529633,0.8404510021209717,0.607582151889801,0.22195206582546234,0.08155377954244614,0.12975677847862244,1.396356225013733,0.29623979330062866,0.8025684356689453,0.16204938292503357,0.8894491195678711,0.5708171725273132,0.18958981335163116
14,0.03878185898065567,0.03019978106021881,0.932955265045166,0.03195041045546532,0.834536612033844,0.18979623913764954,0.8301301598548889,0.6139323711395264,0.22553753852844238,0.0810040682554245,0.1295982003211975,1.3881607055664062,0.2953704297542572,0.8121254444122314,0.16572372615337372,0.8829074501991272,0.574088990688324,0.19300799071788788
15,0.037103231996297836,0.028786810114979744,0.9177992343902588,0.02910798415541649,0.8446031212806702,0.19818492233753204,0.8208984732627869,0.6191587448120117,0.2289213389158249,0.08052358031272888,0.12950748205184937,1.3809641599655151,0.29440540075302124,0.8193699717521667,0.1701842099428177,0.8773232102394104,0.5761497020721436,0.19588465988636017
16,0.03547648712992668,0.027485307306051254,0.9040435552597046,0.02661825343966484,0.8535481691360474,0.20594584941864014,0.8125447630882263,0.6242600679397583,0.23278692364692688,0.08014724403619766,0.12951898574829102,1.3753899335861206,0.2940797507762909,0.8248105049133301,0.1748800277709961,0.8725535869598389,0.576889157295227,0.199201300740242
17,0.03390958532691002,0.026292691007256508,0.8915018439292908,0.02448774315416813,0.8615624308586121,0.21340090036392212,0.804871678352356,0.6290428638458252,0.23622673749923706,0.07985278964042664,0.12955611944198608,1.3702892065048218,0.29350745677948,0.8311356902122498,0.17945045232772827,0.8683669567108154,0.5783726572990417,0.20255178213119507
18,0.032407984137535095,0.02519248053431511,0.8799411058425903,0.022642627358436584,0.8686425685882568,0.22043991088867188,0.7977367639541626,0.6337881684303284,0.2393864393234253,0.07966098189353943,0.12954813241958618,1.3663533926010132,0.29361438751220703,0.8369531631469727,0.18275678157806396,0.8646361231803894,0.5790681838989258,0.2048531174659729
19,0.030974997207522392,0.024187784641981125,0.8693069219589233,0.021104393526911736,0.874248206615448,0.2272791713476181,0.7910545468330383,0.6380562782287598,0.24305033683776855,0.0795658677816391,0.12956754863262177,1.3633588552474976,0.2940841019153595,0.8416780829429626,0.1868162304162979,0.8613502979278564,0.5798637270927429,0.20739136636257172
20,0.029597051441669464,0.023261848837137222,0.8594346046447754,0.019829362630844116,0.8790793418884277,0.23414643108844757,0.7847389578819275,0.641957700252533,0.2467590719461441,0.07953711599111557,0.12950412929058075,1.360338568687439,0.2941678762435913,0.8450254797935486,0.19028666615486145,0.8583415746688843,0.5801604986190796,0.2104034125804901
21,0.028279026970267296,0.022404247894883156,0.8501284122467041,0.01868205890059471,0.8842295408248901,0.24020403623580933,0.7787417769432068,0.6459465622901917,0.25033333897590637,0.07961173355579376,0.12955203652381897,1.3582974672317505,0.294683575630188,0.8477213382720947,0.19309434294700623,0.85568767786026,0.580636203289032,0.21250168979167938
22,0.027018532156944275,0.021609367802739143,0.8414866924285889,0.01779363490641117,0.8894428014755249,0.24621334671974182,0.7730239033699036,0.6492952108383179,0.253930002450943,0.07972124218940735,0.12950772047042847,1.3565096855163574,0.2952978014945984,0.850923478603363,0.19566252827644348,0.853243350982666,0.5811667442321777,0.21409232914447784
23,0.025827420875430107,0.020861173048615456,0.8333732485771179,0.017057783901691437,0.8931620121002197,0.25224757194519043,0.7675718665122986,0.6524599194526672,0.25780680775642395,0.07992468774318695,0.1294420212507248,1.3551088571548462,0.2959558963775635,0.8544525504112244,0.19902080297470093,0.8510571718215942,0.5821942687034607,0.21622444689273834
