,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,eval_mode,prr,archi,species_loss,func_loss
0,richness,0.878607453420056,9.17121896342486,0.9491354084617508,0.0,0.9546699540443974,0.0,,,,richness,3,extrapolation,False,mlp1,bce,msle
1,LNC_cwm,0.9596769611215062,0.1347973187252786,0.9801982192298145,0.0,0.981052445259491,0.0,,,LNC,cwm,3,extrapolation,False,mlp1,bce,msle
2,SLA_cwm,0.9813161310284118,0.1905505081486967,0.9909056102359377,0.0,0.99206054306123,0.0,,,SLA,cwm,3,extrapolation,False,mlp1,bce,msle
3,PLH_cwm,0.9883859734342847,1.0165052307245213,0.9947537907943879,0.0,0.9944032668676298,0.0,,,PLH,cwm,3,extrapolation,False,mlp1,bce,msle
4,LNC_fdis,0.9745640723932428,0.04070510560281223,0.9874048799686995,0.0,0.9892001118341365,0.0,,,LNC,fdis,3,extrapolation,False,mlp1,bce,msle
5,SLA_fdis,0.9679474152367343,0.04876917900412163,0.9855406227138457,0.0,0.9877443470847074,0.0,,,SLA,fdis,3,extrapolation,False,mlp1,bce,msle
6,PLH_fdis,0.9810967073172389,0.4931250727398355,0.9913049015009678,0.0,0.991857639569086,0.0,,,PLH,fdis,3,extrapolation,False,mlp1,bce,msle
7,average,0.9616563877073535,1.585095911195732,,,,,,,,,3,extrapolation,False,mlp1,bce,msle
8,weighted,0.9460915103257543,,,,,,,,,,3,extrapolation,False,mlp1,bce,msle
9,richness,-156.38347933189632,11890.33751119069,0.7777021827524704,5.010799347501812e-227,0.7832284473656386,2.2554919112947095e-232,0.15825101368819222,opth,,richness,3,extrapolation,False,mlp1,bce,msle
10,LNC_cwm,0.857158824104909,0.4775088398531785,0.9308738148617184,0.0,0.9378179430830046,0.0,0.15825101368819222,opth,LNC,cwm,3,extrapolation,False,mlp1,bce,msle
11,SLA_cwm,0.9440106654628664,0.5710164293691928,0.9775622622755212,0.0,0.9781062633055456,0.0,0.15825101368819222,opth,SLA,cwm,3,extrapolation,False,mlp1,bce,msle
12,PLH_cwm,0.9456594741096019,4.7560963026356795,0.9859416151224735,0.0,0.9852210464891185,0.0,0.15825101368819222,opth,PLH,cwm,3,extrapolation,False,mlp1,bce,msle
13,LNC_fdis,0.7973136747179377,0.32435885187299196,0.9297133124478344,0.0,0.9263531122327171,0.0,0.15825101368819222,opth,LNC,fdis,3,extrapolation,False,mlp1,bce,msle
14,SLA_fdis,0.8785741967216258,0.18475379691029123,0.9561109910708037,0.0,0.9578578293977235,0.0,0.15825101368819222,opth,SLA,fdis,3,extrapolation,False,mlp1,bce,msle
15,PLH_fdis,0.8936765155033426,2.7736319225581973,0.9676373710011011,0.0,0.9699130478459673,0.0,0.15825101368819222,opth,PLH,fdis,3,extrapolation,False,mlp1,bce,msle
16,average,-21.58101228303944,1699.9178396191269,,,,,0.15825101368819222,opth,,,3,extrapolation,False,mlp1,bce,msle
17,weighted,-56.81353838396082,,,,,,0.15825101368819222,opth,,,3,extrapolation,False,mlp1,bce,msle
