,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,-0.051383123423806465,101.38767887438648,0.4987685558882494,3.0537142432363773e-71,0.48093628940710875,1.1526600099070993e-65,raw,,,richness,2,False,mlp1,bce,msle
1,LNC_cm,0.025777795014203297,3.005470271491652,0.4587803734028801,3.5219934454946807e-59,0.44436755603576866,3.2830244709104316e-55,raw,,LNC,cm,2,False,mlp1,bce,msle
2,SLA_cm,0.6585384760128244,3.5099377044524904,0.8258728882234474,1.832226665578108e-279,0.8271182203803694,4.909012750018447e-281,raw,,SLA,cm,2,False,mlp1,bce,msle
3,PLH_cm,0.7137540685959709,26.891002348360622,0.8583100358097745,0.0,0.8488799658160079,9.998528801493e-311,raw,,PLH,cm,2,False,mlp1,bce,msle
4,LNC_cstd,-0.2507356366322553,2.0809796248217887,0.3257776515563096,5.269730225205157e-29,0.31914713414788454,7.674458263213691e-28,raw,,LNC,cstd,2,False,mlp1,bce,msle
5,SLA_cstd,-0.2216499453969707,1.7798216432824638,0.3863039477667477,4.948193255839332e-41,0.37661581599497185,6.278438831677379e-39,raw,,SLA,cstd,2,False,mlp1,bce,msle
6,PLH_cstd,0.3757999820497485,18.422919915651303,0.6689682435129999,1.0555818218546461e-145,0.6857053569048953,7.51468501490545e-156,raw,,PLH,cstd,2,False,mlp1,bce,msle
7,average,0.17858594517424495,22.4396871974924,,,,,raw,,,,2,False,mlp1,bce,msle
8,weighted,0.3354738861728974,,,,,,raw,,,,2,False,mlp1,bce,msle
9,richness,-155.1097332378456,15054.077956989247,0.34610763269856726,9.349909382098805e-33,0.32936677182566015,1.2020593492823073e-29,opth,0.13715877367740645,,richness,2,False,mlp1,bce,msle
10,LNC_cm,0.023690877060694504,3.011908402172942,0.4425044056957844,1.0366497233916494e-54,0.4193389645497519,9.352691280515367e-49,opth,0.13715877367740645,LNC,cm,2,False,mlp1,bce,msle
11,SLA_cm,0.6179920261180559,3.9267211581358015,0.8151194737065595,2.165553024281717e-266,0.8204026540786631,1.0532019942095719e-272,opth,0.13715877367740645,SLA,cm,2,False,mlp1,bce,msle
12,PLH_cm,0.6034984835927653,37.24882011959811,0.8512370489816218,3.19263615e-314,0.8404750440856729,9.890881661300994e-299,opth,0.13715877367740645,PLH,cm,2,False,mlp1,bce,msle
13,LNC_cstd,-0.3596406360980917,2.2621762568613595,0.29575296696253006,5.770496443348137e-24,0.27992217172472966,1.5434465975592665e-21,opth,0.13715877367740645,LNC,cstd,2,False,mlp1,bce,msle
14,SLA_cstd,-0.4524215462819061,2.1160327579782408,0.36357816914838226,3.296622009044494e-36,0.36417346571788306,2.4921584979713027e-36,opth,0.13715877367740645,SLA,cstd,2,False,mlp1,bce,msle
15,PLH_cstd,0.14739193598039746,25.164257659671392,0.6621699371868358,9.080171006768718e-142,0.6796867333009791,4.008962038510672e-152,opth,0.13715877367740645,PLH,cstd,2,False,mlp1,bce,msle
16,average,-22.07560315678195,2161.1154104776665,,,,,opth,0.13715877367740645,,,2,False,mlp1,bce,msle
17,weighted,-62.999003756927195,,,,,,opth,0.13715877367740645,,,2,False,mlp1,bce,msle
