,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,fold,subset,postprocessing
563,0.8405273666901574,0.0784985978706646,0.8611111111111112,0.7049229839927514,0.9978623343309106,0.8261946902654868,36.0,Verbena.officinalis,0.5660340951038627,1,train,opth
564,0.9082228046836927,0.1623894736301834,0.8695652173913043,0.7606785822478037,0.9976162097735399,0.8631832244757649,46.0,Veronica.aphylla,0.6302437996391079,1,train,opth
565,0.83892418613119,0.4296397227886737,0.8610421836228288,0.6596467391304348,0.9719719719719719,0.7859166329421287,403.0,Veronica.arvensis,0.5206889227532636,1,train,opth
566,0.9464845907434,0.2515685171294448,0.9090909090909091,0.8903402187120292,0.9982970027247956,0.941233140655106,55.0,Veronica.bellidioides,0.7994311278029382,1,train,opth
567,0.8363294879355252,0.37965909682988447,0.7368421052631579,0.7972883597883598,0.9659455128205128,0.8735507246376811,323.0,Veronica.chamaedrys,0.5341304650515175,1,train,opth
568,0.8956175276399996,0.1442841263712603,0.9074074074074074,0.711205587610082,0.9978696207925011,0.8304964539007093,54.0,Veronica.fruticans,0.6186129950174895,1,train,opth
569,0.9125534644995723,0.027918302739655003,0.7142857142857143,0.8820359281437126,0.9993215739484396,0.9370229007633588,7.0,Veronica.fruticulosa,0.5963216424294269,1,train,opth
570,0.8391669178976987,0.10543925393225341,0.7333333333333333,0.8167018390111547,0.9970555760029445,0.8979118329466357,30.0,Veronica.officinalis,0.5500351723444878,1,train,opth
571,0.8298362416981377,0.18685234373116358,0.8928571428571429,0.6092373138863567,0.9970164097463948,0.7563183704262543,56.0,Veronica.persica,0.5020944567434995,1,train,opth
572,0.7638409011322517,0.15502192926730865,0.6923076923076923,0.716236722306525,0.9932659932659933,0.8323047081643449,52.0,Veronica.serpyllifolia,0.4085444146142172,1,train,opth
573,0.8879856290342224,0.47459282296200217,0.8403361344537815,0.7652173913043478,0.9756929637526652,0.8577319587628865,357.0,Vicia.cracca,0.6055535257581295,1,train,opth
574,0.9245544940044348,0.26293479444987267,0.8571428571428571,0.8467220683287165,0.9949367088607595,0.914865314266711,98.0,Vicia.hirsuta,0.7038649254715736,1,train,opth
