,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,0.6460928071743239,34.56315813563787,0.8288524006308305,3.0255173816431094e-283,0.8064414289898317,1.892486712688208e-256,raw,,,richness,1,False,mlp1,bce,msle
1,LNC_cm,0.1757059852005819,2.6510383816601686,0.5194125654114902,4.003559881382848e-78,0.5054889190235003,1.97702422824602e-73,raw,,LNC,cm,1,False,mlp1,bce,msle
2,SLA_cm,0.7356673852651838,2.726238281108858,0.8584111895803157,0.0,0.860723883916,0.0,raw,,SLA,cm,1,False,mlp1,bce,msle
3,PLH_cm,0.919126815337272,7.802908066648852,0.9594224010160021,0.0,0.9573448886272851,0.0,raw,,PLH,cm,1,False,mlp1,bce,msle
4,LNC_cstd,0.480659792275249,0.866770434592206,0.7265809844266042,8.780034619142566e-184,0.6863701912039065,2.87498200383703e-156,raw,,LNC,cstd,1,False,mlp1,bce,msle
5,SLA_cstd,0.5681199085966605,0.5914378363700633,0.7747416235673776,5.018147845430488e-224,0.7223427251263776,1.1815407779777925e-180,raw,,SLA,cstd,1,False,mlp1,bce,msle
6,PLH_cstd,0.8643376001846069,3.9293092088758517,0.9297287383240755,0.0,0.9263006697785436,0.0,raw,,PLH,cstd,1,False,mlp1,bce,msle
7,average,0.6271014705762683,7.59012290641341,,,,,raw,,,,1,False,mlp1,bce,msle
8,weighted,0.7783230817932788,,,,,,raw,,,,1,False,mlp1,bce,msle
9,richness,-149.070674670618,14656.148745519713,0.684412987628991,4.828942534263094e-155,0.6554112972782599,5.870050773345094e-138,opth,0.14635685527129533,,richness,1,False,mlp1,bce,msle
10,LNC_cm,0.22610721422597857,2.4889413747303237,0.5266721475475622,1.1682085580361949e-80,0.518634958941399,7.419068602778858e-78,opth,0.14635685527129533,LNC,cm,1,False,mlp1,bce,msle
11,SLA_cm,0.7057831495778342,3.0344543043728294,0.8549255171122625,8.1353e-320,0.8637948132691967,0.0,opth,0.14635685527129533,SLA,cm,1,False,mlp1,bce,msle
12,PLH_cm,0.8825738939103184,11.329652891295378,0.954512834088073,0.0,0.9543744450709856,0.0,opth,0.14635685527129533,PLH,cm,1,False,mlp1,bce,msle
13,LNC_cstd,0.2870045598893729,1.189977895596502,0.6912288161130795,2.37001350771895e-159,0.6537615745204902,4.829325221177894e-137,opth,0.14635685527129533,LNC,cstd,1,False,mlp1,bce,msle
14,SLA_cstd,0.28651079311690575,0.9770872082136147,0.7138844066481602,1.3987501021246818e-174,0.6857358071614447,7.191566928479524e-156,opth,0.14635685527129533,SLA,cstd,1,False,mlp1,bce,msle
15,PLH_cstd,0.7700471685613564,6.6603257749271805,0.905562339029645,0.0,0.9124203816363196,0.0,opth,0.14635685527129533,PLH,cstd,1,False,mlp1,bce,msle
16,average,-20.844663984476604,2097.404169281264,,,,,opth,0.14635685527129533,,,1,False,mlp1,bce,msle
17,weighted,-60.256727751712,,,,,,opth,0.14635685527129533,,,1,False,mlp1,bce,msle
