Prevalence
57
118
1069
57
198
20
215
102
10
20
10
151
211
425
251
37
156
31
53
28
209
89
216
25
53
65
20
80
27
42
157
66
50
16
156
262
23
54
1349
97
742
10
12
23
174
189
382
15
105
800
29
113
17
170
39
202
89
10
80
13
81
52
12
95
16
209
241
221
88
46
23
35
340
16
850
1631
227
12
54
32
12
249
35
57
95
49
10
37
29
55
226
30
16
356
331
542
11
58
39
536
24
32
52
370
221
38
22
22
13
14
411
143
101
16
117
66
44
78
79
48
41
108
24
769
54
525
98
322
666
141
472
896
97
550
83
89
32
72
44
77
10
36
22
330
211
42
33
202
44
92
58
80
405
239
18
132
42
245
30
85
82
11
89
199
11
92
27
20
280
1409
10
32
11
348
139
116
28
186
22
232
12
114
12
136
13
10
72
41
11
18
59
97
62
25
126
36
43
268
70
22
17
650
21
12
24
182
35
237
134
16
441
92
55
618
565
227
229
551
103
625
117
40
69
22
129
20
131
139
40
83
876
492
1088
84
52
119
147
42
34
33
313
68
46
442
83
118
74
148
10
14
14
433
592
31
15
18
187
201
20
198
46
728
13
351
25
34
123
21
97
58
460
549
192
27
120
243
128
136
148
17
60
10
20
31
35
56
90
58
13
778
53
86
242
202
63
24
21
14
31
134
55
18
10
931
26
10
10
108
878
29
167
961
78
12
83
313
65
38
12
325
1396
82
213
106
72
34
229
42
18
34
34
12
111
653
140
193
33
13
170
13
84
226
105
721
419
98
26
13
128
564
45
380
479
153
108
138
13
20
12
12
36
126
111
12
45
103
96
11
34
45
52
30
17
144
41
64
75
85
420
12
64
88
52
351
11
73
143
122
181
796
108
1173
144
769
261
30
1208
13
270
20
74
34
28
1000
37
63
12
132
142
20
257
696
14
59
315
535
129
331
417
41
36
229
19
29
14
25
486
76
76
217
40
55
201
18
66
10
799
720
20
23
202
67
79
148
15
822
18
268
29
884
60
102
119
25
329
101
132
100
945
868
78
63
40
118
75
176
22
232
246
17
20
39
116
146
81
135
60
72
65
64
73
346
173
120
348
54
127
99
63
21
591
72
29
119
259
46
128
25
322
88
30
459
10
358
17
94
89
82
220
123
26
79
81
14
111
706
14
11
414
152
25
14
70
12
95
39
26
10
41
889
58
76
256
46
23
252
319
162
41
624
70
2008
810
23
14
25
319
140
33
1181
290
12
58
100
25
40
66
35
69
170
113
17
25
40
67
536
87
417
76
10
42
72
77
476
131
40
477
135
11
47
21
15
220
41
11
10
15
22
56
60
15
35
10
17
15
35
11
32
16
72
27
60
27
246
14
36
21
30
71
36
124
18
10
17
12
156
445
159
180
43
354
216
64
233
19
11
26
19
12
34
13
31
87
23
25
13
120
12
11
56
19
30
15
25
13
19
30
59
10
71
48
21
19
18
128
66
242
45
51
184
33
17
222
228
25
58
113
10
85
80
272
10
91
46
82
32
27
16
180
34
225
138
14
14
24
12
10
770
64
11
16
10
121
93
40
56
11
147
56
134
28
31
271
10
11
10
20
16
20
37
10
11
16
25
90
31
15
10
17
286
80
93
13
105
38
107
201
19
20
106
38
11
54
53
378
23
63
266
107
94
81
154
67
14
10
254
20
227
24
32
11
12
36
35
131
21
38
19
13
98
51
19
94
14
180
187
78
25
61
50
15
27
14
17
162
38
16
30
16
208
18
12
15
278
10
10
80
97
19
65
128
11
17
59
34
24
23
324
22
769
186
573
52
72
84
117
165
414
32
47
46
437
30
11
20
13
74
229
447
21
22
40
134
17
163
43
26
180
98
14
13
