Taxa,LNC,SLA,PLH
Laserpitium.gallicum,30.69604079,13.70740266,52.4
Oenanthe.silaifolia,,,69
Seseli.galloprovinciale,,,30
Torilis.leptophylla,25.92666667,,25
Achillea.ptarmica,20.87319096,12.765,78
Artemisia.alba,21.58128897,,
Bombycilaena.erecta,26.96333333,,
Cacalia.alliariae,30.61592658,,
Cacalia.alpina,24.64027564,15.69243294,38.62
Carduus.nigrescens,17.62641072,,
Catananche.caerulea,18.93917084,,
Centaurea.alpestris,24.8,,38.95
Centaurea.paniculata,32.44,,
Centaurea.triumfetti,,,30
Centaurea.uniflora,23.90708318,18.37557342,21.10883721
Cirsium.ferox,7.688905795,,
Cirsium.morisianum,30.28348398,,
Cirsium.rivulare,,,35
Crepis.albida,24.37797149,,
Crepis.nicaeensis,,,40
Doronicum.grandiflorum,40.71136872,32.59478748,20.94230769
Echinops.ritro,21.948459,9.353333335,50
Erigeron.atticus,,,38
Filago.vulgaris,,,25
Helichrysum.stoechas,17.12666667,,
Hieracium.glanduliferum,,18.257715,
Pilosella.peleteriana,22.57780651,18.78313203,3.84090909
Pilosella.officinarum,22.90213606,24.70040189,10.61785714
Hieracium.rionii,17.54,18.26,7.65
Pilosella.corymbuloides,,,
Inula.montana,14.98053829,,
Leontodon.pyrenaicus,18.42478553,20.76637228,3.16875
Leucanthemum.adustum,26.90270106,17.8179515,39.8
Leucanthemum.atratum,,,23
Omalotheca.supina,21.03138367,22.06166667,2.375
Omalotheca.sylvatica,,23.91,33
Pulicaria.dysenterica,,,47.5
Scorzonera.hispanica,,14,69
Senecio.aquaticus,,,46
Senecio.vulgaris,,,25.5
Serratula.lycopifolia,,,70
Serratula.nudicaulis,24.08024311,,30
Sonchus.asper,30.006667,22.41777778,50.33333333
Taraxacum.erythrospermum,,,8
Taraxacum.palustre,25.73333333,,17
Tolpis.staticifolia,23.68,27.2,15.44333333
Tragopogon.crocifolius,,,35
Cerinthe.minor,,,30.3
Cynoglossum.officinale,36.69614156,24.195,44.33333333
Lithospermum.arvense,,27.16,36.66666667
Myosotis.decumbens,,,23
Myosotis.discolor,,44.3,21
Pulmonaria.angustifolia,28.2375,,22.625
Alyssum.alpestre,26.29112085,,
Alyssum.montanum,,12.4,9
Arabis.alpina,30.28865099,23.65194621,9.164814815
Arabis.auriculata,24.18333333,,
Cardamine.bellidifolia,,25.6,1
Cardamine.resedifolia,44.81333333,33.82391853,6.057692308
Iberis.pinnata,28.95666667,,
Kandis.perfoliata,24.67789809,,
Noccaea.brachypetala,26.79,,
Pritzelago.alpina,35.82515399,12.23671555,2.853333333
Sisymbrium.austriacum,42.19935815,,35
Campanula.alpestris,29.02666667,,
Phyteuma.globulariifolium,26.57,,
Phyteuma.michelii,29.55,,
Arenaria.gothica,,,
Cerastium.cerastoides,,24.39,6.375
Dianthus.hyssopifolius,22.00333333,,
Dianthus.pavonius,15.26174744,9.347669346,6.94
Minuartia.hybrida,,20.84,7.333333333
Minuartia.rupestris,,,10
Minuartia.sedoides,28.5246555,10.475,2.853017242
Sagina.glabra,,15,1
Sagina.saginoides,14.13934827,,2.833333333
Silene.italica,25.94673793,,50
Silene.latifolia,28.08093389,22.768631,55.33
Silene.suecica,15.10666667,,12
Chenopodium.bonus.henricus,,,37
Helianthemum.apenninum,29.35482502,,13.66666667
Helianthemum.oelandicum,26.42333333,14.11019937,6.711538462
Convolvulus.cantabricus,31.21333333,,
Sedum.alpestre,,11.26666667,4.5
Sedum.anacampseros,24.07318334,20.18700811,12.55833333
Sedum.ochroleucum,8.175205835,6.0485712,13.38
Sedum.sediforme,5.463017027,,35
Sempervivum.calcareum,5.377963483,,30
Euphorbia.esula,,40.14,42.5
Anthyllis.montana,33.15203985,12.27814627,7.84
Argyrolobium.zanonii,28.70459239,,
Astragalus.danicus,34.4,17.24541667,12.88
Astragalus.sempervirens,37.39,17.69,6.7
Astragalus.vesicarius,31.43825849,,
Bituminaria.bituminosa,34.96109724,,
Dorycnium.pentaphyllum,29.14166667,,
Genista.cinerea,24.81847207,,
Lathyrus.hirsutus,,,65
Lotus.alpinus,43.47666667,18.94889455,4.235714286
Lotus.delortii,25.19,,
Lotus.pedunculatus,,29.54,26.5
Medicago.arabica,,35.455,31.66666667
Melilotus.neapolitanus,26.98,,
Ononis.cristata,33.86,20.51,4.35
Oxytropis.lapponica,42.03913053,14.1,2.5
Trifolium.incarnatum,,29.11,28.33333333
Trifolium.pallescens,35.95666667,,5
Vicia.pannonica,38.62154961,,40
Vicia.tenuifolia,,26.63,70
Gentiana.angustifolia,11.52644555,,
Gentiana.brachyphylla,12.50576473,12.38183249,1.146666667
Gentiana.orbicularis,20.11666667,,
Gentiana.rostanii,7.203262647,,
Gentianella.campestris,21.35745026,24.41092333,13.70333334
Gentianella.ciliata,33.9,,21
Gentianella.tenella,,,2
Hypericum.tetrapterum,,,36
Herniaria.incana,28.07915745,,13
Calamintha.nepeta,15.7068181,,12.5
Mentha.aquatica,17.277363,37.296875,38.66666667
Mentha.longifolia,,29.515,73
Nepeta.nepetella,20.3935949,,
Prunella.hyssopifolia,,,17
Teucrium.polium,15.7985731,,20
Linum.bienne,,,37.5
Linum.suffruticosum,25.58903535,,
Lythrum.salicaria,16.1923876,23.37083334,71
Althaea.hirsuta,,,20
Epilobium.parviflorum,,,43.33333333
Plantago.sempervirens,21.1376671,,
Armeria.alpina,30.95027228,16.32343886,5.0625
Polygala.calcarea,18.24666667,,8.666666667
Rumex.arifolius,36.53444358,33.96177388,69
Rumex.conglomeratus,,,66.25
Rumex.nebroides,,,50
Rumex.pseudalpinus,51.09517415,,80
Androsace.adfinis,9.288645585,10,1
Androsace.vitaliana,17.4029394,7.771375547,1.182692308
Primula.vulgaris,,,9.5
Aconitum.anthora,28.01,,
Anemone.baldensis,31.62304262,24.95887697,3.2
Anemone.narcissifolia,,15.255,16.505
Caltha.palustris,34.48333333,28.18142857,26.5
Ranunculus.aduncus,,,40
Ranunculus.carinthiacus,26.56666667,,11.5
Ranunculus.sartorianus,,,
Reseda.phyteuma,22.52796014,,23.1
Alchemilla.fissa,,,13
Alchemilla.flabellata,,,
Alchemilla.glabra,26.00091577,27.86819292,21.55871212
Alchemilla.glaucescens,,18.3375,11.5
Alchemilla.monticola,,17.34,26
Alchemilla.pentaphyllea,22.34135747,23.31560511,1.178571429
Filipendula.ulmaria,23.24161172,18.32944959,99.48
Potentilla.brauneana,22.36615896,,1.5
Potentilla.neglecta,,,20
Sibbaldia.procumbens,26.22333333,17.69458333,2.361904762
Galium.megalospermum,27.75,,6
Galium.obliquum,,,
Galium.palustre,,31.5375,43.6
Galium.pseudohelveticum,21.73193336,10.64703507,2.2
Galium.uliginosum,,43.085,26.66666667
Salix.foetida,21.97,,45
Thesium.divaricatum,,,10
Saxifraga.bryoides,14.40257311,18.2,4.333333333
Saxifraga.exarata,16.85773527,,5.923076923
Digitalis.grandiflora,,26.315,53
Euphrasia.officinalis,35.82666667,30.55,24
Linaria.simplex,26.05333333,,
Pedicularis.cenisia,29.46808577,,
Pedicularis.comosa,22.51157045,,
Pedicularis.kerneri,32.04532385,,
Pedicularis.rosea,23.66924282,,
Pedicularis.rostratospicata,20.53,14.33,12.65
Verbascum.chaixii,,,70
Veronica.allionii,13.28731386,10.09725841,2.904761905
Veronica.alpina,25.27929508,25.29838095,7.304761905
Veronica.austriaca,,23.02083333,27.75
Veronica.verna,,,8
Valeriana.tuberosa,24.89668131,,25
Viola.saxatilis,,,25
Carex.acutiformis,11.414286,16.75,75
Carex.bicolor,22.08666667,20.17537395,6.328
Carex.cuprina,21.85333333,,
Carex.disticha,,,43
Carex.foetida,33.68,19.22317664,12
Carex.frigida,29.54,27.9,19
Carex.melanostachya,,,40
Carex.ovalis,10.59337219,25.37,23.5
Carex.paniculata,,14.13,53
Carex.parviflora,24.28,13.04632158,14.15740741
Carex.viridula,20.500137,17.487862,24.27939
Eleocharis.quinqueflora,,8.79,10
Eriophorum.polystachion,16.44540793,9.866307,16.56
Kobresia.myosuroides,19.69988098,12.41846992,11.61324451
Schoenus.nigricans,,4.97,32.75
Scirpoides.holoschoenus,,,100
Muscari.neglectum,28.26,,12
Crocus.vernus,46.37,,
Juncus.conglomeratus,,4.92,71.5
Luzula.alpinopilosa,29.59866762,14.71,20
Luzula.nutans,26.72330081,17.49642764,20.43040541
Gagea.fragifera,31.6,,
Tulipa.australis,23.99333333,,21
Dactylorhiza.latifolia,30.56390206,,
Ophrys.fuciflora,22.43039608,,
Orchis.purpurea,19.59110697,29.16,28.5
Orchis.simia,17.85132766,24.96,25
Alopecurus.alpinus,34.86333333,18.11458756,5
Alopecurus.rendlei,,,30
Avenula.pubescens,16.03333333,19.93275231,36.9425
Avenula.versicolor,18.89644116,16.49613079,8.155600268
Brachypodium.rupestre,22.94333333,29.71624209,50.68
Bromus.commutatus,14.64758039,28.22,50
Bromus.racemosus,,28.81,73
Elytrigia.repens,25.11538183,19.75321671,49.67706667
Festuca.cinerea,,,
Festuca.marginata,17.1,15.9,16.1
Festuca.pratensis,17.25,25.88583334,40.8390625
Festuca.trichophylla,,,33
Gaudinia.fragilis,,,28
Helictotrichon.parlatorei,,,48
Helictotrichon.sedenense,17.37600858,12.19049708,9.785714286
Helictotrichon.sempervirens,15.038125,,
Hordeum.murinum,,30.995,30.5
Hordeum.secalinum,,,33
Koeleria.cenisia,18.43,,5.6
Molinia.caerulea,21.17972054,20.55609011,41.54
Phleum.pratense,19.984,23.79326592,34.70277778
Poa.trivialis,20.25,28.27357143,20.41425
Vulpia.bromoides,,,11.5
Vulpia.ciliata,,37.7,20
Equisetum.variegatum,22.4,6.33,20
Pachypleurum.mutellinoides,26.4951237,14.22501662,3.805769231
Libanotis.pyrenaica,34.26333333,,
Alchemilla.alpigena,,,
Anacamptis.morio,19.4110616,,
Mutellina.adonidifolia,32.00666667,,
Avenula.pratensis,15.95,10.3175,22.14166667
Gymnadenia.nigra,26.24224954,,
Murbeckiella.pinnatifida,37.36,,
Silene.conica,23.36276293,,20
