,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,postprocess,fold,prr,archi,species_loss,func_loss
0,0.8353642727508426,0.06396976539568826,0.5714285714285714,0.7931034482758621,0.9931818181818182,0.8819374369323916,14.0,Aceras.anthropophorum,0.3645320197044335,opth,3,False,mlp1,bce,msle
1,0.8598483722313067,0.2395181730464048,0.7419354838709677,0.8202764976958525,0.9910913140311804,0.8976298537569339,31.0,Achillea.collina,0.5622119815668203,opth,3,False,mlp1,bce,msle
2,0.7302695585077831,0.4462390197831697,0.7569444444444444,0.5736714975845411,0.8715596330275229,0.6919155134741443,288.0,Achillea.millefolium,0.33061594202898537,opth,3,False,mlp1,bce,msle
3,0.8809762773722628,0.0989419799395789,0.6,0.8822992700729927,0.9917948717948718,0.9338483824239497,20.0,Achillea.nana,0.48229927007299267,opth,3,False,mlp1,bce,msle
4,0.891338924233661,0.33400226203053346,0.7884615384615384,0.825187969924812,0.9876265466816648,0.8991295442908346,52.0,Achillea.roseo.alba,0.6136495083863505,opth,3,False,mlp1,bce,msle
5,0.9234234234234234,0.07813107713985257,0.6666666666666666,0.8666666666666667,0.9979253112033195,0.9276759884281581,6.0,Achnatherum.calamagrostis,0.5333333333333332,opth,3,False,mlp1,bce,msle
6,0.8145413291403778,0.13983567786416476,0.723404255319149,0.7521047708138447,0.9840881272949816,0.8525980911983033,47.0,Acinos.alpinus,0.47550902613299373,opth,3,False,mlp1,bce,msle
7,0.8262538463978683,0.09726248824890953,0.7931034482758621,0.7092916283348666,0.9922779922779923,0.8272532188841202,29.0,Acinos.arvensis,0.5023950766107288,opth,3,False,mlp1,bce,msle
8,0.923330338424678,0.02743285746021724,1.0,0.8364779874213837,1.0,0.910958904109589,3.0,Aconitum.lycoctonum,0.8364779874213837,opth,3,False,mlp1,bce,msle
9,0.7163821503444145,0.04243398562374115,0.3333333333333333,0.9469901168014375,0.9981060606060606,0.9718764407561088,3.0,Cacalia.leucophylla,0.2803234501347709,opth,3,False,mlp1,bce,msle
10,0.7576301615798923,0.009160897588923371,0.5,0.6364452423698385,0.9985915492957746,0.7774122807017544,2.0,Aegopodium.podagraria,0.13644524236983857,opth,3,False,mlp1,bce,msle
