,loss,cwm_loss,fdis_loss,richness_loss,species_loss,cwm_r_square,fdis_r_square,richness_r_square,species_auc,species_aupr,species_recall,species_precision,val_loss,val_cwm_loss,val_fdis_loss,val_richness_loss,val_species_loss,val_cwm_r_square,val_fdis_r_square,val_richness_r_square,val_species_auc,val_species_aupr,val_species_recall,val_species_precision
0,19.188268661499023,0.07705509662628174,0.11328510195016861,1.8956669569015503,0.2390904724597931,0.00772975804284215,-0.871370792388916,-226.7383575439453,0.5101889371871948,0.03562405705451965,0.020188892260193825,0.03020237572491169,5.493197917938232,0.08098164945840836,0.07450281828641891,0.34758442640304565,0.13944818079471588,0.18003466725349426,0.2035522609949112,-1.441709280014038,0.5136630535125732,0.03945598006248474,0.015112018212676048,0.05784526467323303
1,2.7318644523620605,0.033209044486284256,0.041298285126686096,0.08559132367372513,0.1435060203075409,0.5351900458335876,0.38926881551742554,0.18990814685821533,0.5715290307998657,0.056459687650203705,0.06770427525043488,0.21962617337703705,4.756485462188721,0.03503939136862755,0.0614667683839798,0.3400557339191437,0.12526698410511017,0.5864909887313843,0.29066383838653564,-1.4244728088378906,0.5456836223602295,0.04866376891732216,0.12142506241798401,0.2557491958141327
2,1.7823337316513062,0.01181737519800663,0.027370234951376915,0.032330721616744995,0.12177833914756775,0.8196017146110535,0.5931738018989563,0.5715478658676147,0.6190447211265564,0.0745941698551178,0.15402694046497345,0.4687829613685608,4.720702171325684,0.0321195051074028,0.060688529163599014,0.3513330817222595,0.1159672662615776,0.5945946574211121,0.29113027453422546,-1.4719045162200928,0.5676530003547668,0.0542946420609951,0.15788280963897705,0.3108449876308441
3,1.5019620656967163,0.00909887719899416,0.01985442265868187,0.018479006364941597,0.11274059861898422,0.863679826259613,0.7119697332382202,0.753531277179718,0.6416955590248108,0.08562225103378296,0.17519062757492065,0.502204418182373,4.775365829467773,0.03304010629653931,0.06128629669547081,0.3610689342021942,0.11228859424591064,0.5850606560707092,0.2856133282184601,-1.4871666431427002,0.5860083699226379,0.05744566395878792,0.16328535974025726,0.31316572427749634
4,1.352046251296997,0.007906658574938774,0.013883142732083797,0.013431441970169544,0.10711154341697693,0.8813983201980591,0.8097714185714722,0.8400665521621704,0.6615082025527954,0.0945165604352951,0.1761329174041748,0.5222222208976746,4.708469390869141,0.03271516412496567,0.06231188401579857,0.355265736579895,0.10987433791160583,0.5842277407646179,0.2826420068740845,-1.3589699268341064,0.5994225740432739,0.061486173421144485,0.18342211842536926,0.32252708077430725
5,1.2540876865386963,0.0071268389001488686,0.010003084316849709,0.010985114611685276,0.10273296386003494,0.8946728110313416,0.8744686245918274,0.8804018497467041,0.6833208799362183,0.10389214009046555,0.1826748102903366,0.5388498306274414,4.467721462249756,0.03325371816754341,0.06314100325107574,0.32831552624702454,0.1064077615737915,0.5795554518699646,0.2827163636684418,-1.0596871376037598,0.6160165071487427,0.06599230319261551,0.17307038605213165,0.3382309377193451
6,1.181449294090271,0.006538072135299444,0.007862521335482597,0.008835394866764545,0.09925530850887299,0.9028400778770447,0.9040968418121338,0.9071360230445862,0.7053399085998535,0.11490568518638611,0.1884477138519287,0.5502530336380005,4.369455814361572,0.03396617993712425,0.06458184868097305,0.3164191246032715,0.1044733077287674,0.5708802342414856,0.27003732323646545,-0.9286274909973145,0.6315123438835144,0.0695960596203804,0.16883902251720428,0.3504273593425751
7,1.1312569379806519,0.006009322125464678,0.00673245545476675,0.007821735925972462,0.09634775668382645,0.9096382260322571,0.9183282256126404,0.9202790856361389,0.7272436618804932,0.12550221383571625,0.19488129019737244,0.561912477016449,4.5234785079956055,0.03420371189713478,0.06420498341321945,0.3364008367061615,0.10381562262773514,0.5706865191459656,0.28255414962768555,-1.1342756748199463,0.6486469507217407,0.0740910992026329,0.17733952403068542,0.34613966941833496
8,1.0874265432357788,0.005668880417943001,0.005989100784063339,0.006528067402541637,0.0938514918088913,0.9124234318733215,0.9265197515487671,0.9316446185112,0.7484912872314453,0.1352337747812271,0.19741573929786682,0.5753108859062195,4.509186744689941,0.03392389044165611,0.06482695788145065,0.3355564475059509,0.10290498286485672,0.5676011443138123,0.27387359738349915,-1.1316211223602295,0.659396231174469,0.07721948623657227,0.17888851463794708,0.3473699688911438
9,1.0552211999893188,0.005298921372741461,0.005539183504879475,0.005824139341711998,0.09186758100986481,0.9178125262260437,0.9319222569465637,0.9411779642105103,0.7662362456321716,0.14513269066810608,0.20235465466976166,0.5845744609832764,4.5303568840026855,0.034428954124450684,0.06647971272468567,0.3369409739971161,0.10227163881063461,0.5616854429244995,0.25746798515319824,-1.1210675239562988,0.6677055358886719,0.07923302799463272,0.18107976019382477,0.3482525646686554
10,1.0281320810317993,0.005066277459263802,0.005116845481097698,0.005189322866499424,0.09018787741661072,0.9205882549285889,0.9366065263748169,0.9472910165786743,0.7832659482955933,0.15298831462860107,0.20742353796958923,0.5940320491790771,4.541275501251221,0.034165170043706894,0.06585221737623215,0.3396303355693817,0.10188812762498856,0.5679972767829895,0.27033767104148865,-1.169994592666626,0.6737877130508423,0.08108865469694138,0.18882466852664948,0.3481713831424713
