,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,postprocess,fold,prr,archi,species_loss,func_loss
445,0.8511353721083659,0.5412270767050531,0.7729468599033816,0.7533039647577092,0.9357045143638851,0.8346552776082977,207.0,Rhinanthus.alectorolophus,0.5262508246610909,opth,4,False,mlp1,bce,msle
446,0.9552205220522052,0.08019350276221313,1.0,0.8307830783078308,1.0,0.9075712881022615,4.0,Rhinanthus.glacialis,0.8307830783078307,opth,4,False,mlp1,bce,msle
447,0.8127179487179488,0.26400195741081584,0.8,0.6817307692307693,0.9792817679558011,0.8038548752834467,75.0,Rhinanthus.minor,0.4817307692307693,opth,4,False,mlp1,bce,msle
448,0.95630081300813,0.15846355127199765,0.75,0.964769647696477,0.9981308411214953,0.981166743224621,8.0,Rhododendron.ferrugineum,0.7147696476964769,opth,4,False,mlp1,bce,msle
449,0.8738664304130126,0.61802650502407,0.672566371681416,0.8537682789651294,0.9111644657863145,0.8815331010452961,226.0,Rumex.acetosa,0.5263346506465454,opth,4,False,mlp1,bce,msle
450,0.909111514052584,0.12773103172517802,1.0,0.7352674524025385,1.0,0.8474399164054337,12.0,Rumex.acetosella,0.7352674524025384,opth,4,False,mlp1,bce,msle
451,0.9376891224717312,0.20562844180412815,0.782608695652174,0.9047619047619048,0.9949647532729103,0.9477218225419665,23.0,Rumex.crispus,0.6873706004140787,opth,4,False,mlp1,bce,msle
452,0.8955481490298773,0.2199021691727371,0.4838709677419355,0.9381918819188192,0.9845111326234269,0.9607935758148323,31.0,Rumex.obtusifolius,0.4220628496607546,opth,4,False,mlp1,bce,msle
453,0.9607314148681055,0.21422322209723785,0.6666666666666666,0.9676258992805755,0.9990714948932219,0.983097304705345,3.0,Rumex.scutatus,0.6342925659472423,opth,4,False,mlp1,bce,msle
454,0.9545573942737062,0.5179429451705141,0.9506172839506173,0.8655705996131529,0.9955506117908788,0.926021727884118,81.0,Salix.herbacea,0.8161878835637701,opth,4,False,mlp1,bce,msle
455,0.9216641943914671,0.17444970297583293,0.5,0.9228650137741047,0.9872298624754421,0.9539629805410537,26.0,Salix.reticulata,0.4228650137741048,opth,4,False,mlp1,bce,msle
456,0.9112474093989806,0.16408472110621591,0.6060606060606061,0.8955637707948244,0.9867617107942973,0.938953488372093,33.0,Salix.retusa,0.5016243768554305,opth,4,False,mlp1,bce,msle
