,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,postprocess,jaccard,trait,indice,fold,prr,archi,species_loss,func_loss
0,richness,0.018396291242261165,96.98171686961123,0.5020391873923905,3.08277960751398e-72,0.4919814148465465,5.090637927565914e-69,raw,,,richness,4,False,mlp1,bce,msle
1,LNC_cm,-0.08615756274271003,3.583586962017873,0.3880603370978972,2.1933458143476229e-41,0.3725920423380166,4.823888290003465e-38,raw,,LNC,cm,4,False,mlp1,bce,msle
2,SLA_cm,0.6198547135740999,3.7861180287787493,0.8047785848300646,2.244672851505316e-254,0.8123959682158512,5.5684728108995735e-263,raw,,SLA,cm,4,False,mlp1,bce,msle
3,PLH_cm,0.6927246752943915,27.258671826259736,0.8515135458277987,2.3479923797e-314,0.8405516917466023,1.4302916065803265e-298,raw,,PLH,cm,4,False,mlp1,bce,msle
4,LNC_cstd,-0.29795907888800466,2.018097056675345,0.3033284620248503,3.6772498765482006e-25,0.2684598851224183,7.359869280443526e-20,raw,,LNC,cstd,4,False,mlp1,bce,msle
5,SLA_cstd,-0.21390927853152042,1.6572770612291352,0.3690244330737625,2.6848214894823406e-37,0.34948115028382976,2.2355186649648274e-33,raw,,SLA,cstd,4,False,mlp1,bce,msle
6,PLH_cstd,0.3673237344849791,18.603006179474157,0.6567626333616294,1.3721442674549558e-138,0.671479781147201,4.7171207197918254e-147,raw,,PLH,cstd,4,False,mlp1,bce,msle
7,average,0.15718192777621381,21.984067712006606,,,,,raw,,,,4,False,mlp1,bce,msle
8,weighted,0.33979762831431315,,,,,,raw,,,,4,False,mlp1,bce,msle
9,richness,-220.6333914370849,21897.214349775786,0.36450635509163654,2.2891481643718143e-36,0.35331797969276296,3.99190527405832e-34,opth,0.11892800908321641,,richness,4,False,mlp1,bce,msle
10,LNC_cm,-0.01484485842486083,3.3483031632526505,0.40239776816951345,1.199971566748937e-44,0.38373201739413604,1.9704135555715697e-40,opth,0.11892800908321641,LNC,cm,4,False,mlp1,bce,msle
11,SLA_cm,0.615565445603977,3.828837681953013,0.8012280054751282,1.711057387604697e-250,0.8140330455516193,6.995459754108164e-265,opth,0.11892800908321641,SLA,cm,4,False,mlp1,bce,msle
12,PLH_cm,0.5901667498783332,36.35667810052446,0.8465150802165994,5.269152093675245e-307,0.834042744838136,9.38656007468627e-290,opth,0.11892800908321641,PLH,cm,4,False,mlp1,bce,msle
13,LNC_cstd,-0.3570917303532164,2.110037882712473,0.27771873660488755,3.40216296972903e-21,0.24764582266541488,4.81772604517963e-17,opth,0.11892800908321641,LNC,cstd,4,False,mlp1,bce,msle
14,SLA_cstd,-0.4339269504034542,1.9576539074292827,0.3470825592189879,6.484405517242826e-33,0.34207346818357764,5.818532784899905e-32,opth,0.11892800908321641,SLA,cstd,4,False,mlp1,bce,msle
15,PLH_cstd,0.15735911597747154,24.776737214550202,0.6377738764877179,2.387373143261065e-128,0.6517901278005495,7.769718816705968e-136,opth,0.11892800908321641,PLH,cstd,4,False,mlp1,bce,msle
16,average,-31.43945195211523,3138.5132282466016,,,,,opth,0.11892800908321641,,,4,False,mlp1,bce,msle
17,weighted,-93.25252432804574,,,,,,opth,0.11892800908321641,,,4,False,mlp1,bce,msle
