,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,postprocess,fold,prr,archi,species_loss,func_loss
0,0.7146030440148088,0.017995985252360472,0.5454545454545454,0.6343891402714932,0.9929178470254958,0.774157923799006,11.0,Aceras.anthropophorum,0.1798436857260386,opth,1,False,mlp1,bce,msle
1,0.8361264579496623,0.16086401520492127,0.7666666666666667,0.7255985267034991,0.9911949685534591,0.837852206273259,30.0,Achillea.collina,0.49226519337016583,opth,1,False,mlp1,bce,msle
2,0.7304922587439223,0.4209087189940576,0.7547892720306514,0.5871345029239766,0.8869257950530035,0.7065446868402533,261.0,Achillea.millefolium,0.341923774954628,opth,1,False,mlp1,bce,msle
3,0.913125,0.08168871717784128,0.75,0.8918181818181818,0.9959390862944163,0.9410071942446043,16.0,Achillea.nana,0.6418181818181818,opth,1,False,mlp1,bce,msle
4,0.8565203859321506,0.19365339468842974,0.8222222222222222,0.7142857142857143,0.9896507115135834,0.8297180043383948,45.0,Achillea.roseo.alba,0.5365079365079364,opth,1,False,mlp1,bce,msle
5,0.8754496402877698,0.041060648698892685,0.75,0.7733812949640287,0.9988385598141696,0.8717688798783578,4.0,Achnatherum.calamagrostis,0.5233812949640289,opth,1,False,mlp1,bce,msle
6,0.7905649183009156,0.13220689855037737,0.6610169491525424,0.7615894039735099,0.9757575757575757,0.8554729011689692,59.0,Acinos.alpinus,0.42260635312605244,opth,1,False,mlp1,bce,msle
7,0.694447647601476,0.04807070191200926,0.71875,0.5452029520295203,0.985,0.7019002375296912,32.0,Acinos.arvensis,0.2639529520295203,opth,1,False,mlp1,bce,msle
8,0.9901345291479821,0.08333333333333333,1.0,0.715695067264574,1.0,0.8342916884474647,1.0,Aconitum.lycoctonum,0.7156950672645741,opth,1,False,mlp1,bce,msle
9,0.6349206349206349,0.005480016006286027,0.0,0.9281221922731356,0.997104247104247,0.9613773848301536,3.0,Cacalia.leucophylla,-0.07187780772686436,opth,1,False,mlp1,bce,msle
10,0.9264573991031391,0.012048192771084338,1.0,0.8134529147982063,1.0,0.897131552917903,1.0,Aegopodium.podagraria,0.8134529147982064,opth,1,False,mlp1,bce,msle
11,0.8031133828996282,0.11930034457712105,0.9,0.5715613382899628,0.9935379644588045,0.7256637168141593,40.0,Agrimonia.eupatoria,0.47156133828996283,opth,1,False,mlp1,bce,msle
12,0.845404397482713,0.19882627591517252,0.639344262295082,0.8322274881516588,0.9755555555555555,0.8982097186700767,61.0,Agrostis.alpina,0.4715717504467407,opth,1,False,mlp1,bce,msle
13,0.7750085353362922,0.23073594246147985,0.7623762376237624,0.6423645320197044,0.9644970414201184,0.7711413364872857,101.0,Agrostis.capillaris,0.40474076964346684,opth,1,False,mlp1,bce,msle
14,0.8459109788953749,0.17871542574482047,0.7941176470588235,0.7700381679389313,0.9829476248477467,0.8635634028892456,68.0,Agrostis.rupestris,0.5641558149977548,opth,1,False,mlp1,bce,msle
15,0.7254842918799559,0.03071557173770477,0.6666666666666666,0.7958446251129178,0.996606334841629,0.8849824208940231,9.0,Agrostis.agrostiflora,0.4625112917795844,opth,1,False,mlp1,bce,msle
16,0.7761816085838433,0.2583677873526976,0.5714285714285714,0.8305400372439479,0.9802197802197802,0.8991935483870968,42.0,Agrostis.stolonifera,0.40196860867251916,opth,1,False,mlp1,bce,msle
17,0.6765822784810127,0.019344330757273483,0.6,0.6401446654611211,0.9943820224719101,0.7788778877887789,10.0,Ajuga.chamaepitys,0.24014466546112123,opth,1,False,mlp1,bce,msle
18,0.8255529434342466,0.1320613183878586,0.8947368421052632,0.6153144940747494,0.9970457902511078,0.7609921082299888,19.0,Ajuga.genevensis,0.5100513361800125,opth,1,False,mlp1,bce,msle
19,0.7165461121157324,0.04160858152555225,0.3,0.8716094032549728,0.9927909371781668,0.928261916225325,10.0,Ajuga.pyramidalis,0.17160940325497287,opth,1,False,mlp1,bce,msle
20,0.8823648923201951,0.20160608396211874,0.782608695652174,0.8149532710280374,0.9886621315192744,0.8934426229508197,46.0,Ajuga.reptans,0.5975619666802112,opth,1,False,mlp1,bce,msle
21,0.787560884226302,0.062412385216376945,0.5882352941176471,0.7952684258416742,0.9920544835414302,0.8828282828282829,17.0,Alchemilla.alpina,0.3835037199593212,opth,1,False,mlp1,bce,msle
22,0.6491689280868386,0.10532991277256758,0.5909090909090909,0.6147388059701493,0.9734121122599705,0.7535734705546027,44.0,Alchemilla.xanthochlora,0.20564789687924012,opth,1,False,mlp1,bce,msle
23,0.7609153869316471,0.022326761205555185,0.5555555555555556,0.7533875338753387,0.9952267303102625,0.8575835475578406,9.0,Allium.lusitanicum,0.30894308943089444,opth,1,False,mlp1,bce,msle
24,0.7058431728731456,0.06986952639913543,0.7333333333333333,0.5694822888283378,0.993660855784469,0.7240184757505773,15.0,Allium.oleraceum,0.3028156221616711,opth,1,False,mlp1,bce,msle
25,0.6968749999999999,0.11098436457329156,0.625,0.6654545454545454,0.991869918699187,0.7965179542981502,16.0,Allium.schoenoprasum,0.2904545454545455,opth,1,False,mlp1,bce,msle
26,0.700990099009901,0.02152452014033326,0.4,0.8703870387038704,0.9969072164948454,0.9293608841902932,5.0,Allium.scorodoprasum,0.27038703870387026,opth,1,False,mlp1,bce,msle
27,0.6997270245677889,0.031372889203357485,0.35294117647058826,0.8489535941765242,0.9883474576271186,0.9133627019089574,17.0,Allium.sphaerocephalon,0.20189477064711236,opth,1,False,mlp1,bce,msle
28,0.8127812781278128,0.021809253324161115,0.6,0.7335733573357336,0.9975520195838433,0.8454356846473029,5.0,Allium.vineale,0.33357335733573357,opth,1,False,mlp1,bce,msle
29,0.9169845594913715,0.26946126774493445,0.8666666666666667,0.8410535876475931,0.9978448275862069,0.9127649088220798,15.0,Alopecurus.pratensis,0.7077202543142598,opth,1,False,mlp1,bce,msle
30,0.6924024163568773,0.05721546485345092,0.725,0.5817843866171004,0.9827315541601256,0.7308814944541739,40.0,Alyssum.alyssoides,0.3067843866171005,opth,1,False,mlp1,bce,msle
31,0.6997892201144233,0.021995477504971262,0.3333333333333333,0.6928635953026197,0.9922380336351876,0.8159574468085107,9.0,Anacamptis.pyramidalis,0.02619692863595291,opth,1,False,mlp1,bce,msle
32,0.8585795454545455,0.18287466057462212,0.5625,0.8236363636363636,0.9923329682365827,0.9001490312965723,16.0,Androsace.obtusifolia,0.3861363636363637,opth,1,False,mlp1,bce,msle
33,0.7403327338129497,0.011686178218436281,0.5,0.7742805755395683,0.9976825028968713,0.8718987341772152,4.0,Angelica.sylvestris,0.2742805755395683,opth,1,False,mlp1,bce,msle
34,0.8663187748156552,0.16938105454039432,0.6341463414634146,0.8437209302325581,0.9837310195227765,0.9083625438157236,41.0,Antennaria.carpatica,0.47786727169597265,opth,1,False,mlp1,bce,msle
35,0.8267641565860625,0.19283525053279715,0.7848101265822784,0.7483124397299904,0.978562421185372,0.848087431693989,79.0,Antennaria.dioica,0.5331225663122687,opth,1,False,mlp1,bce,msle
36,0.7001353790613718,0.014733900813527797,0.375,0.7996389891696751,0.9943883277216611,0.8864432216108054,8.0,Anthemis.arvensis,0.17463898916967513,opth,1,False,mlp1,bce,msle
37,0.6946216955332726,0.05258245615954808,0.47368421052631576,0.7064721969006381,0.9872611464968153,0.8235919234856536,19.0,Anthericum.liliago,0.18015640742695394,opth,1,False,mlp1,bce,msle
38,0.5382192749441015,0.32610512426017046,0.5253731343283582,0.5326504481434059,0.7234782608695652,0.6135693215339233,335.0,Anthoxanthum.odoratum,0.05802358247176409,opth,1,False,mlp1,bce,msle
39,0.8429688624478242,0.1261170202916335,0.7894736842105263,0.7292616226071102,0.9950248756218906,0.8416622830089426,19.0,Anthriscus.sylvestris,0.5187353068176366,opth,1,False,mlp1,bce,msle
40,0.681353964060731,0.28027353398641713,0.5621621621621622,0.6895810955961332,0.8879668049792531,0.7762998790810157,185.0,Anthyllis.vulneraria,0.2517432577582954,opth,1,False,mlp1,bce,msle
41,0.7356373429084381,0.004964070170284133,0.0,0.881508078994614,0.9979674796747967,0.9361296472831268,2.0,Aphanes.arvensis,-0.11849192100538597,opth,1,False,mlp1,bce,msle
42,0.6081687612208259,0.003416085650106479,0.0,0.7576301615798923,0.9976359338061466,0.8612244897959184,2.0,Aquilegia.vulgaris,-0.24236983842010773,opth,1,False,mlp1,bce,msle
43,0.5762204252770291,0.004217716192723239,0.0,0.8032345013477089,0.9966555183946488,0.8895522388059701,3.0,Arabidopsis.thaliana,-0.1967654986522911,opth,1,False,mlp1,bce,msle
44,0.8035647279549718,0.18069292055155692,0.54,0.8667917448405253,0.9757127771911299,0.9180327868852459,50.0,Arabis.ciliata,0.4067917448405254,opth,1,False,mlp1,bce,msle
45,0.6717640385706183,0.05284935395104612,0.5365853658536586,0.6409302325581395,0.9731638418079096,0.7728547392035895,41.0,Arabis.hirsuta,0.17751559841179798,opth,1,False,mlp1,bce,msle
46,0.6781836804370092,0.1800625410119806,0.5445544554455446,0.6640394088669951,0.9361111111111111,0.7769452449567723,101.0,Arenaria.serpyllifolia,0.2085938643125398,opth,1,False,mlp1,bce,msle
