"","LNC","SLA","PLH"
"CBNA_551",3.28081189647995,5.69978609801035,15.4429097235149
"CBNA_554",9.15749498777505,3.76778297471433,11.642802179378
"CBNA_555",9.07131882903597,6.0441238163034,23.3801502738675
"CBNA_556",8.48466930182858,4.02681202590107,21.9611319499559
"CBNA_562",9.79200901500602,5.81447558824198,9.9041332286506
"CBNA_614",6.28710039500883,4.42378478859644,10.7140095133166
"CBNA_634",10.6559236368192,4.95265066271926,13.9263739109473
"CBNA_703",4.34066175738724,5.44369449108149,8.21518886610537
"CBNA_709",8.70888583666091,3.97063213525874,8.56506552837585
"CBNA_835",5.16004022678349,4.34292560994809,15.8228336471751
"CBNA_907",9.03020496307166,7.62978361026902,14.8122057500337
"CBNA_908",8.40146300760861,7.41991586144205,7.52967645092284
"CBNA_909",9.01486318372255,5.99013717262107,7.05641754297849
"CBNA_912",7.80119695764182,6.72260225836307,12.3489756842014
"CBNA_969",6.02014754369008,6.92636064908955,17.0466468103062
"CBNA_1087",7.19288561936276,4.55594266922849,22.7071372332126
"CBNA_1184",7.75689331552092,5.40684952511531,27.8132526601586
"CBNA_1209",7.47630987793749,4.01312939674741,11.2824856323787
"CBNA_1222",6.63438753721482,5.05477188861345,23.1516123921025
"CBNA_1229",6.74115422229338,4.13558829335622,29.3935587374244
"CBNA_1235",7.72035589270079,5.745993856727,27.6077214835614
"CBNA_1236",8.18692418783208,6.26343197522496,18.9134895034775
"CBNA_1238",7.01688734334993,4.45000261333766,25.6995918156097
"CBNA_1239",10.1185166580694,5.52271743494292,29.2188465142374
"CBNA_1242",5.3053425967299,6.9912240960039,28.4300530864558
"CBNA_1340",8.31994319113209,6.39105451335362,20.424391852789
"CBNA_1346",8.0386268532734,7.61112080924161,17.9146633779514
"CBNA_1349",7.26651246640888,7.72331360466528,25.8347311863333
"CBNA_1627",8.18617887238655,6.30857365746588,16.5262930134432
"CBNA_1631",7.24056259659498,7.88901476196774,19.1790070400702
"CBNA_1662",7.46122327708275,5.43015184753954,15.4642898356715
"CBNA_1669",5.25705756074036,4.52890682209962,15.5259853398353
"CBNA_382920",9.67578782976648,7.21916314221978,17.0759941805622
"CBNA_382950",10.7852936227198,9.9204453175456,26.4130676406917
"CBNA_382987",8.63356425017953,4.3635220377488,10.4731571041958
"CBNA_383011",7.80327644942324,4.42982164984407,14.0284007685061
"CBNA_383130",6.31167261688456,4.03539346263393,5.39182260998002
"CBNA_383412",7.42478757752994,5.04081366060543,9.81746113868974
"CBNA_383492",7.37131276592754,5.2409760869224,2.87276077080409
"CBNA_388286",9.0724270704857,4.07723733803718,5.02684194698514
"CBNA_388399",11.3715313809601,4.2460144992283,11.1532944754498
"CBNA_388415",6.78974100832019,3.9418364195673,3.52768656830006
"CBNA_388416",10.3346713162739,6.43350698301444,9.16525160245294
"CBNA_388419",8.4797325964568,6.18887909777017,4.32249708521235
"CBNA_388423",7.07195517040539,6.98155968477014,6.64231248861091
"CBNA_388424",8.68087574380496,6.59579708885752,2.47408368839437
"CBNA_388430",7.88438256724281,8.29968120462441,8.97341611595143
"CBNA_388434",7.2572213711919,3.85000947183669,5.62984847693463
"CBNA_388435",7.91201279906638,5.0844998069115,6.90719672206192
"CBNA_388436",10.4214283298844,4.35503898246834,4.35826582191651
"CBNA_388442",5.63248963552595,4.27970927411472,2.30506274890698
"CBNA_388467",8.84461027293766,5.08991459670006,5.91711580158317
"CBNA_388468",6.03743128891501,4.10577795534095,7.93914934927087
"CBNA_388471",8.73993836992293,4.90789486307674,7.10994937633189
"CBNA_388476",9.51650791921392,3.14563492638213,5.56975419501464
"CBNA_388482",10.5125847080031,2.50073176560852,9.78432418692732
"CBNA_388492",11.9454585589664,5.0667534868142,4.95764760891177
"CBNA_388505",7.15913226305784,6.10662883103265,3.57761689535384
"CBNA_388508",10.8497518440798,4.66629516704509,6.35764462100438
"CBNA_388511",8.39252760398272,3.58590109299903,9.58375886393827
"CBNA_388517",8.68555739822194,3.76759782426384,8.65053601283693
"CBNA_388521",11.1711086080306,4.43028881807125,6.80354261543497
"CBNA_388522",6.03454038175793,3.08644002126538,3.33723260890057
"CBNA_388523",7.93153238610844,4.34050466796079,4.51240421755889
"CBNA_388525",6.59291682102926,3.6794092790553,3.67460439516702
"CBNA_388526",8.64132943945885,5.75721724668434,3.78750506561142
"CBNA_388527",10.1502446190047,5.75004510669632,8.89783551563523
"CBNA_388528",8.86074507592341,2.95641096584774,4.88001833271429
"CBNA_388532",5.48080083760617,3.99339493445748,1.13195456457764
"CBNA_388540",9.67861954655357,4.57825172219016,5.88343919868859
"CBNA_388545",6.347707819353,3.00226291061054,7.89921397502702
"CBNA_388549",8.92263241901624,5.29453314192434,9.41916510735662
"CBNA_388550",7.31554042958865,6.48038094320483,4.91716584902976
"CBNA_388553",10.4822412759117,4.74019767680746,9.83189220758446
"CBNA_388559",7.32506048279645,5.84949237574203,-0.333631454407317
"CBNA_388647",10.72266115454,4.0344202078921,11.7557118856229
"CBNA_389529",9.51867914850954,4.89548454334478,9.56908734362197
"CBNA_389533",4.07763703653992,5.5297689971229,10.2403909969733
"CBNA_389569",9.5697906791472,14.9908348282469,18.4235688195708
"CBNA_389573",8.27189348983522,6.15015286985201,27.3370521862073
"CBNA_389574",7.04599686562797,3.95036104764488,9.39588654737613
"CBNA_389577",8.09413500602023,6.95599640519369,25.4682829657545
"CBNA_389587",5.71052526083436,4.68841744015128,4.58695256314381
"CBNA_389589",8.95534634298788,4.01927616523406,7.76251511556788
"CBNA_389594",11.4610041884047,5.49949920215391,20.9763527019985
"CBNA_389598",7.67539166209454,5.66295487101535,1.66875372320967
"CBNA_389599",8.78184571115135,3.10408273096276,2.07340440372108
"CBNA_389609",7.72605472713737,5.48074654549061,5.8814609451328
"CBNA_389611",7.41618155207251,5.99067652843184,8.75295314477459
"CBNA_389612",6.43501308962518,4.90794009933149,13.2703614925688
"CBNA_389613",6.8274652484881,4.28400865947714,9.88414238709733
"CBNA_389620",9.19781074599566,6.26094356438232,25.8006880665456
"CBNA_389621",10.8779934438858,7.0750133705037,13.5432552079035
"CBNA_389624",8.84149776404737,6.64141031233361,11.5641573079055
"CBNA_389626",9.75416769327182,8.59788652746174,24.8280873958231
"CBNA_389634",10.3442358013055,5.65862438045587,6.65032832405454
"CBNA_389635",8.6211690903187,4.91394370264468,7.01838262283379
"CBNA_389637",0.573219023441295,4.22420460187555,2.05787127201948
"CBNA_389638",3.50252335610948,6.07696742359213,7.23056547072925
"CBNA_389641",7.10774842791744,4.96094031522288,5.41628919925035
"CBNA_389642",9.154484506929,6.23446558249996,4.23653122979224
"CBNA_389647",7.99934618551999,5.10598633540826,6.23366234052802
"CBNA_389655",6.58769831347692,7.46130342954955,0.698366987273818
"CBNA_389666",7.95755153021489,8.03582862084601,7.32745284734836
"CBNA_389673",9.05258168256976,4.78112274003856,8.88257533608661
"CBNA_389674",9.29119064455189,3.26329145754798,1.83632394484555
"CBNA_389692",10.3019612118875,3.97195853238701,8.03338007185504
"CBNA_389693",9.01011982239287,6.5944273761474,10.3307840985661
"CBNA_389700",8.30646192609687,6.64926719095014,7.89827532952716
"CBNA_389705",8.50469591176774,4.33771600989593,7.47027817754283
"CBNA_389707",9.4580480572933,4.5641631820992,6.52026472230751
"CBNA_389723",5.15035045026292,4.31107082558585,5.39823412322748
"CBNA_389729",5.70027736208403,5.21331159914416,4.0987959442386
"CBNA_389737",8.45430076137848,3.1578577472501,4.98428283246278
"CBNA_389739",5.5897521989336,5.40471425041841,4.09881027624635
"CBNA_389742",8.47480580374226,2.36621422379714,3.92751429515788
"CBNA_389745",7.33612038005614,4.79404133071677,16.9450117485039
"CBNA_389748",7.71486905482626,6.30545114996886,3.80830384372829
"CBNA_389751",8.97319178979856,6.49527405444571,6.21411790358618
"CBNA_389757",5.69475623065464,2.56685374733385,6.62695886794684
"CBNA_389762",8.53843799989673,3.62109451845378,4.02623138006934
"CBNA_389763",10.3407769500824,5.46274333368004,6.0351612022842
"CBNA_389768",8.09854115283672,3.88613273244164,9.31027715431867
"CBNA_389769",7.68979298509588,4.20106864914052,10.1149679563921
"CBNA_389770",10.7269959216227,4.50557294142123,11.0166519915546
"CBNA_389775",7.06666687013402,4.26326849920043,4.05433150674132
"CBNA_389784",7.55537887531515,2.48622314096052,8.24006651221657
"CBNA_389785",9.05255565864379,4.37305585630578,2.00810193961577
