"","LNC","SLA","PLH"
"CBNA_551",7.29678614312365,5.67315383828753,13.8355723095835
"CBNA_554",7.19526106856406,5.83317257047514,12.9127854270069
"CBNA_555",7.29019994775436,5.90342480597604,13.4032213078175
"CBNA_556",7.12344688054738,6.11265725612318,13.7911196412996
"CBNA_562",6.63661317886064,5.20504675820638,14.3110598356556
"CBNA_614",7.27954967046795,5.43774398392774,15.0323789457877
"CBNA_634",6.57359167211044,5.2259770084831,13.671530473312
"CBNA_703",7.22598622784646,5.79682152441834,13.6892693456454
"CBNA_709",7.03128909335133,6.01829820791691,14.0601118654135
"CBNA_835",7.29022968579284,5.25800680751897,15.8681004522672
"CBNA_907",7.16179285275308,5.92984515041793,14.1331061283512
"CBNA_908",7.15748815187268,5.93736856642077,14.129679221112
"CBNA_909",7.18130328436302,5.92012697308418,13.7894170073129
"CBNA_912",7.20619588232924,6.49026509478239,13.2147398106036
"CBNA_969",7.49518855631583,6.38928675786568,12.8256736669085
"CBNA_1087",6.52461138097625,6.3454245805107,17.677068715154
"CBNA_1184",6.70416908527448,6.19876961403966,21.6750721804125
"CBNA_1209",7.13729094683016,5.69971435514957,12.4085213728245
"CBNA_1222",7.11574598265516,6.06397034691809,22.4735495410931
"CBNA_1229",6.85997987690265,6.130109128306,22.3075893768029
"CBNA_1235",6.8575797514023,5.99897969450046,20.1394556119704
"CBNA_1236",6.90164705918248,6.05777703126354,21.1093670630719
"CBNA_1238",6.97893421281509,6.33822020306312,21.455350131404
"CBNA_1239",7.07701227319005,6.06812020785615,22.2500530970534
"CBNA_1242",6.94401066070841,6.06793939442821,20.0769236635032
"CBNA_1340",6.92769030902021,6.12748462863451,19.3410233976437
"CBNA_1346",6.9408664786666,6.29756922401037,22.0198762290174
"CBNA_1349",6.85209456707225,6.06479884674289,19.8565119861361
"CBNA_1627",6.7784172869625,5.04760307098301,16.3459888379385
"CBNA_1631",6.67262354907667,5.32229485014821,16.913305210501
"CBNA_1662",6.70880072957189,5.57043250900839,16.2560064938417
"CBNA_1669",7.54318168939499,4.39695314255369,14.1519796794947
"CBNA_382920",8.08442575439975,5.87707747816227,9.46158453069688
"CBNA_382950",8.20308283354922,4.8425245364982,8.24162911535076
"CBNA_382987",7.09632546343261,6.14195240250663,14.3646660986461
"CBNA_383011",8.49663057185303,5.33644837529789,6.98719708513767
"CBNA_383130",7.43964195133335,5.37267896936231,6.66609266205349
"CBNA_383412",7.69130629620699,5.57866216055788,12.6702447402802
"CBNA_383492",7.65510994618051,6.48178507911591,10.2515208269185
"CBNA_388286",7.77596611963837,5.54397415676082,10.7643843922187
"CBNA_388399",7.22268906025049,5.01279423221933,5.58737102433638
"CBNA_388415",7.53324984164877,5.62090399937574,10.3953854896929
"CBNA_388416",7.57979547250342,5.91810527870096,12.1323529918286
"CBNA_388419",8.59485318510343,4.92527249063402,8.01275659160182
"CBNA_388423",8.65112582777471,4.82515486247792,7.66891709735957
"CBNA_388424",8.83557918020797,5.32129459728617,6.85592719817633
"CBNA_388430",8.45640807018037,5.6495202118478,8.5690139154455
"CBNA_388434",8.37650649618344,4.86497864326655,7.63930033365994
"CBNA_388435",8.29433599646964,5.07835092780032,6.05685062929881
"CBNA_388436",8.62655778546652,5.1537653392626,7.87158842602282
"CBNA_388442",8.80296465273718,4.73418451915674,6.75336944923634
"CBNA_388467",8.5226913393082,4.34051744273343,5.65239439890679
"CBNA_388468",7.85360201045284,4.37238983433708,7.51347765346971
"CBNA_388471",8.42294816630293,4.86897884636523,7.69085515151092
"CBNA_388476",8.64898275325206,4.97062113291591,7.79300881969757
"CBNA_388482",8.17160088001067,4.51035080197753,7.02649556381757
"CBNA_388492",8.57530694716489,4.97422045523639,6.50412343850735
"CBNA_388505",8.96981510200282,4.72078950723719,6.63739377654237
"CBNA_388508",8.76605268920639,5.07515928682676,6.76882357994422
"CBNA_388511",8.741417691967,4.8127931802479,6.10633044058847
"CBNA_388517",8.49314419056372,5.04475071276877,8.09458822859255
"CBNA_388521",8.42653912985615,4.72352850943567,7.69776447369151
"CBNA_388522",8.58167701017587,4.88988711460729,7.25941042360418
"CBNA_388523",8.40928286899985,4.67937980721486,7.42296471701214
"CBNA_388525",8.03871576607253,4.9065866548603,5.66923618343023
"CBNA_388526",7.42823684891331,4.75722655606302,5.88041593576881
"CBNA_388527",7.69394272054721,4.9317072867033,6.67733131174267
"CBNA_388528",7.74565773999703,5.33870061329207,7.47453602052993
"CBNA_388532",7.39945590704689,4.72855538216744,5.78726500128168
"CBNA_388540",8.63280147798374,5.6250454770082,8.33857653877302
"CBNA_388545",8.12173956106577,5.20348015959081,8.55308292322537
"CBNA_388549",8.72626964856839,5.28761853302381,7.36572179002596
"CBNA_388550",8.20616020325037,5.2312442687475,7.09820452427763
"CBNA_388553",8.30831362868474,4.94447357010179,6.14068746334778
