"","SR"
"CBNA_389949",29.65899286
"CBNA_389950",32.20994286
"CBNA_389951",31.97098016
"CBNA_389954",26.28081746
"CBNA_389958",27.53985476
"CBNA_389965",29.8996254
"CBNA_389966",28.27216905
"CBNA_389967",33.30162063
"CBNA_389977",21.65197143
"CBNA_389980",23.98012302
"CBNA_389982",26.06316905
"CBNA_389983",26.24230714
"CBNA_389989",28.1932881
"CBNA_389990",28.9373373
"CBNA_389991",28.45851429
"CBNA_389994",26.82010397
"CBNA_389996",19.8256881
"CBNA_389997",24.99382302
"CBNA_389999",26.0557881
"CBNA_390001",27.49729127
"CBNA_390004",24.66884444
"CBNA_390006",25.96485873
"CBNA_390007",25.78984127
"CBNA_390008",26.14044603
"CBNA_390009",22.62781032
"CBNA_390018",24.10738016
"CBNA_390019",21.06601508
"CBNA_390020",25.2259119
"CBNA_390022",22.48244286
"CBNA_390024",22.46520159
"CBNA_390028",26.57046508
"CBNA_390030",22.27145952
"CBNA_390034",25.43127857
"CBNA_390045",25.60553492
"CBNA_390047",27.24764683
"CBNA_390049",26.23596508
"CBNA_390053",25.41016984
"CBNA_390058",26.35423651
"CBNA_390071",21.80422063
"CBNA_390072",25.50237937
"CBNA_390075",23.08675317
"CBNA_390079",24.67838254
"CBNA_390080",20.81268254
"CBNA_390081",18.97956825
"CBNA_390085",26.58668333
"CBNA_390088",26.30398968
"CBNA_390153",32.2472381
"CBNA_390154",33.96526746
"CBNA_390159",26.75849683
"CBNA_390160",26.62190556
"CBNA_390161",26.04498492
"CBNA_390164",27.53727937
"CBNA_390174",37.03519524
"CBNA_390178",37.40245317
"CBNA_390179",38.82388651
"CBNA_390180",36.33946825
"CBNA_390182",36.7477
"CBNA_390184",40.43564921
"CBNA_390186",40.79614048
"CBNA_390190",32.67510397
"CBNA_390191",28.77532857
"CBNA_390192",31.75288651
"CBNA_390199",25.61047619
"CBNA_390205",26.90328175
"CBNA_390229",31.81974921
"CBNA_390234",26.19999444
"CBNA_390235",26.05641905
"CBNA_390245",26.57047143
"CBNA_390261",22.32989762
"CBNA_390262",25.32372222
"CBNA_390263",22.29639603
"CBNA_390264",36.37074921
"CBNA_390277",33.91793492
"CBNA_390291",27.84704048
"CBNA_390301",29.86456984
"CBNA_390311",39.64356508
"CBNA_390312",36.45494921
"CBNA_390314",33.7045254
"CBNA_390321",34.86395714
"CBNA_390323",35.63890476
"CBNA_390325",27.47110952
"CBNA_390326",37.89010714
"CBNA_390327",32.87467222
"CBNA_390328",35.7499
"CBNA_390331",32.18689841
"CBNA_390336",23.28006746
"CBNA_390343",28.66773016
"CBNA_390354",34.16969921
"CBNA_390355",27.89984286
"CBNA_390360",28.13700476
"CBNA_390361",28.39977778
"CBNA_390364",30.75114127
"CBNA_390380",31.6209381
"CBNA_390421",39.31761508
"CBNA_390422",37.64380873
"CBNA_390423",41.56168571
"CBNA_390426",37.13970397
"CBNA_390433",29.98029206
"CBNA_390438",32.41937619
"CBNA_390441",31.25924286
"CBNA_390443",26.19006746
"CBNA_390444",27.2977257
"CBNA_390449",22.93973333
"CBNA_390450",25.27196587
"CBNA_390452",27.49061429
"CBNA_390454",30.67981429
"CBNA_390455",30.47594206
"CBNA_390457",32.2635373
"CBNA_390464",29.48638016
"CBNA_390465",30.02867698
"CBNA_390466",31.58452143
"CBNA_390467",31.79653492
"CBNA_390468",28.34500317
"CBNA_390472",29.2578881
"CBNA_390474",30.3881381
"CBNA_390475",30.8103246
"CBNA_390476",29.72727143
"CBNA_390479",28.49832698
"CBNA_390480",33.29962937
"CBNA_390483",26.70704921
"CBNA_390484",31.61538254
"CBNA_390486",27.35589683
"CBNA_390487",30.00177619
"CBNA_390490",25.59016984
"CBNA_390492",23.30145635
"CBNA_390493",25.63164841
"CBNA_390500",23.52705238
"CBNA_390519",38.10780476
"CBNA_390528",38.06938413
"CBNA_390534",37.36797381
"CBNA_390544",29.66532302
"CBNA_390547",31.90456349
"CBNA_390551",33.00518889
"CBNA_390554",26.76990317
"CBNA_390557",21.54294762
"CBNA_390558",30.63080714
"CBNA_390560",33.08559365
"CBNA_390566",26.73122381
"CBNA_390567",31.83261429
"CBNA_390571",24.88319841
"CBNA_390574",34.24019206
"CBNA_390576",23.05109206
"CBNA_390577",28.21319921
"CBNA_390578",32.47975079
"CBNA_390588",27.94987937
"CBNA_390591",29.09440952
"CBNA_390595",24.47130238
"CBNA_390596",29.88699444
"CBNA_390597",29.44822381
"CBNA_390602",25.81539841
"CBNA_390604",29.5151119
"CBNA_390610",29.94492857
"CBNA_390611",24.23482222
"CBNA_390622",25.84467381
"CBNA_390637",31.3694627
"CBNA_390638",23.59530159
"CBNA_390640",25.14312143
"CBNA_390641",23.58120397
"CBNA_390642",27.03660476
"CBNA_390645",29.18887302
"CBNA_390647",28.33335079
"CBNA_390651",27.34043571
"CBNA_390653",25.08816984
"CBNA_390654",26.09607381
"CBNA_390655",26.73843095
"CBNA_390656",27.30046905
"CBNA_390657",27.64860714
"CBNA_390658",29.78091667
"CBNA_390660",28.77018889
"CBNA_390673",25.90181905
"CBNA_390676",29.68827381
"CBNA_390679",28.66674286
"CBNA_390681",28.64244365
"CBNA_390686",29.7107619
"CBNA_390691",22.52384365
"CBNA_390700",24.08090079
"CBNA_390704",20.92747619
"CBNA_390706",21.79112063
"CBNA_390710",23.20821984
"CBNA_390712",21.50974603
"CBNA_390713",23.09881587
"CBNA_390714",24.48545873
"CBNA_390717",23.11921587
"CBNA_390724",24.55154524
"CBNA_390743",24.95885556
"CBNA_390816",25.74782619
"CBNA_391147",32.91842619
"CBNA_391152",21.98962698
"CBNA_391153",33.79745476
"CBNA_391155",30.80177143
"CBNA_391157",28.28126984
"CBNA_391158",26.70308413
"CBNA_391159",29.51052937
"CBNA_391169",24.84023571
"CBNA_391171",20.34814365
"CBNA_391172",18.74304762
"CBNA_391173",21.7092246
