,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,jaccard,postprocess,trait,indice,fold,eval_mode,prr,archi,species_loss,func_loss
0,richness,0.031552393594117545,94.58018498870717,0.5047500519998035,3.459851102219477e-73,0.49096527717740596,9.243842080143102e-69,,,,richness,1,interpolation,False,mlp1,bce,msle
1,LNC_cwm,0.042212731482371146,3.0803703104935862,0.43395157258726064,1.8554693021889976e-52,0.42012874782685383,5.962787599324351e-49,,,LNC,cwm,1,interpolation,False,mlp1,bce,msle
2,SLA_cwm,0.6588842550244368,3.5181538349866686,0.8261043244958897,9.371013960135932e-280,0.8284734340447824,9.245073690596855e-283,,,SLA,cwm,1,interpolation,False,mlp1,bce,msle
3,PLH_cwm,0.7298574699296073,26.064230508813697,0.868258973295278,0.0,0.8683687732395801,0.0,,,PLH,cwm,1,interpolation,False,mlp1,bce,msle
4,LNC_fdis,-0.2852855586701104,2.1451208777850304,0.3371758227273609,4.5023600178006345e-31,0.343323508549445,3.171043527730526e-32,,,LNC,fdis,1,interpolation,False,mlp1,bce,msle
5,SLA_fdis,-0.11179293772450305,1.522543925196113,0.40429051055046644,3.958139453628572e-45,0.3955054573936445,4.267750747913007e-43,,,SLA,fdis,1,interpolation,False,mlp1,bce,msle
6,PLH_fdis,0.3941259614781514,17.548461786185925,0.6839583993411285,9.269239857399616e-155,0.7190576537108612,2.8696778788991157e-178,,,PLH,fdis,1,interpolation,False,mlp1,bce,msle
7,average,0.20850775930201013,21.208438033166885,,,,,,,,,1,interpolation,False,mlp1,bce,msle
8,weighted,0.38058694949483585,,,,,,,,,,1,interpolation,False,mlp1,bce,msle
9,richness,-233.8526691050368,22936.097670250896,0.3491916910615228,2.382185360213112e-33,0.3433631538638853,3.116643989462614e-32,0.11672110252529276,opth,,richness,1,interpolation,False,mlp1,bce,msle
10,LNC_cwm,0.07080901831137765,2.988400876534871,0.4416788045594167,1.7215376284367853e-54,0.4381733085035251,1.4605027820881103e-53,0.11672110252529276,opth,LNC,cwm,1,interpolation,False,mlp1,bce,msle
